tconst,startYear
tt14964860,1969
tt37268317,1969
tt94607305,1969
tt66237705,1969
tt16207785,1969
tt38127062,1969
tt37231410,1969
tt59184938,1969
tt37618110,1969
tt47679757,1969
tt42187586,1969
tt18262774,1969
tt30166433,1969
tt97051862,1969
tt83140035,1969
tt36187130,1969
tt64075409,1969
tt21743853,1969
tt58410616,1969
tt70777237,1969
tt15847799,1969
tt99945045,1969
tt74184811,1969
tt17087231,1969
tt66784991,1969
tt67903565,1969
tt58355487,1969
tt69574988,1969
tt81600754,1969
tt46902396,1969
tt31876930,1969
tt98832457,1969
tt89281696,1969
tt90788414,1969
tt21810022,1969
tt96151472,1969
tt38194033,1969
tt85773314,1969
tt47394659,1969
tt16005563,1969
tt47372233,1969
tt23704752,1969
tt22595121,1969
tt72994188,1969
tt71939733,1969
tt90512849,1969
tt67699759,1969
tt32828768,1969
tt18347951,1969
tt72911422,1969
tt18622629,1969
tt87113333,1969
tt11260640,1969
tt76634228,1969
tt43466780,1969
tt99884214,1969
tt26839196,1969
tt77567535,1969
tt27124882,1969
tt77856743,1969
tt74715146,1969
tt21024893,1969
tt29922070,1969
tt63603185,1969
tt45401201,1969
tt67951368,1969
tt71946053,1969
tt12491546,1969
tt65343155,1969
tt78689422,1969
tt66868145,1969
tt36696819,1969
tt70640395,1969
tt46321975,1969
tt55098118,1969
tt60536800,1969
tt68235533,1969
tt18039032,1969
tt63728433,1969
tt17886323,1969
tt72041511,1969
tt46241384,1969
tt86111993,1969
tt26432036,1969
tt36924457,1969
tt90359238,1969
tt66632454,1969
tt10055900,1969
tt23114271,1969
tt73418079,1969
tt21219478,1969
tt50161543,1969
tt80516089,1969
tt45835415,1969
tt14198919,1969
tt88492944,1969
tt18702895,1969
tt38912699,1969
tt86039110,1969
tt94149220,1969
tt52793806,1969
tt83419052,1969
tt74627268,1969
tt68170695,1969
tt16134057,1969
tt72827193,1969
tt92269387,1969
tt21474396,1969
tt28635339,1969
tt12746645,1969
tt91715214,1969
tt65678948,1969
tt21378102,1969
tt99499235,1969
tt62995393,1969
tt72685634,1969
tt97799556,1969
tt94686683,1969
tt95091489,1969
tt17874286,1969
tt40914606,1969
tt82245852,1969
tt25854294,1969
tt30550908,1969
tt60999018,1969
tt37282643,1969
tt57716249,1969
tt12583266,1969
tt82400961,1969
tt23112128,1969
tt16131965,1969
tt36135657,1969
tt53600858,1969
tt32186092,1969
tt54112641,1969
tt43929879,1969
tt77828622,1969
tt66841601,1969
tt73820034,1969
tt11984510,1969
tt52197234,1969
tt98857690,1969
tt52444137,1969
tt14873860,1969
tt52964200,1969
tt68954176,1969
tt40082553,1969
tt76332593,1969
tt64975819,1969
tt63926753,1969
tt24941104,1969
tt82007729,1969
tt97455246,1969
tt65527090,1969
tt84608884,1969
tt67991110,1969
tt51750514,1969
tt61135496,1969
tt60618937,1969
tt13405738,1969
tt52070925,1969
tt20067479,1969
tt23744928,1969
tt75633587,1969
tt81459151,1969
tt25821294,1969
tt55104205,1969
tt36169822,1969
tt90397470,1969
tt11021183,1969
tt14034595,1969
tt56843860,1969
tt93801958,1969
tt91838624,1969
tt59634056,1969
