tconst,startYear
tt25552123,1951
tt63465350,1951
tt50705500,1952
tt49281289,1954
tt47147687,1955
tt43284671,1955
tt81396285,1955
tt77408484,1955
tt76884337,1955
tt14121042,1955
tt95396540,1955
tt45489881,1955
tt43112515,1955
tt83623608,1955
tt26808004,1955
tt79226068,1956
tt82357946,1956
tt25991204,1956
tt40618735,1956
tt12597833,1956
tt32928346,1957
tt71324375,1957
tt28560802,1957
tt24643509,1957
tt41692714,1957
tt31677047,1957
tt59890124,1957
tt40717930,1957
tt87909142,1958
tt37551895,1958
tt87086444,1958
tt66216831,1958
tt40610694,1958
tt53093559,1958
tt74936426,1958
tt76325480,1958
tt60479593,1958
tt59902734,1958
tt98884283,1958
tt94041268,1958
tt12540672,1958
tt55612782,1958
tt79378283,1958
tt40769384,1958
tt57402373,1958
tt81481985,1958
tt32967488,1959
tt77190137,1959
tt37532405,1959
tt31004928,1959
tt61467917,1959
tt30193713,1959
tt18760920,1959
tt35035463,1959
tt39444571,1959
tt24199484,1959
tt83678658,1959
tt27702623,1959
tt55622411,1959
tt98521076,1959
tt86292708,1959
tt46158169,1959
tt92547972,1959
tt44403833,1959
tt96559355,1959
tt88825963,1959
tt51312809,1960
tt45429096,1960
tt37566880,1960
tt37996208,1960
tt77041013,1960
tt68208551,1960
tt38139232,1960
tt95985396,1960
tt33412018,1960
tt31297150,1960
tt49336214,1960
tt11335502,1960
tt56675617,1960
tt22866633,1960
tt62857281,1961
tt45343039,1961
tt41785412,1962
tt38271086,1962
tt31346696,1962
tt92290338,1962
tt41847078,1962
tt97620313,1962
tt51709296,1962
tt59414454,1962
tt23801285,1962
tt79098378,1962
tt60293194,1962
tt43136535,1962
tt36318678,1962
tt75741475,1962
tt88676414,1962
tt84726252,1962
tt10514228,1962
tt70449703,1963
tt39211264,1963
tt39298515,1963
tt55398366,1963
tt72698330,1963
tt34399395,1963
tt34578864,1963
tt41123028,1963
tt72552261,1963
tt61595999,1963
tt88780484,1963
tt88060048,1963
tt26253108,1963
tt10209252,1963
tt56045991,1963
tt41063005,1963
tt77723459,1963
tt41610617,1963
tt86794686,1963
tt88774983,1963
tt38171926,1963
tt42982287,1963
tt77140971,1963
tt71078443,1963
